それな
あなたしか勝たん
脱帽
ニュータイプか何か？
すごいものを見た
ぱーぺきやん
どうしてこんなにすごいの～～
想像力やばいじゃん
コロンブスかマゼラン並みの発見してるやん🌎
誰もが望むだろう、君のようでありたいと！😎
成し遂げたぜ
ネ申降臨
すごいじゃん～～～
立派すぎでは？
まじやばい
凄すぎる
やばい、ほめるところしかない
大した奴だ…
ハイスぺすぎる
待ってすごい
すご…
シンプルに天才
そこに気づくとは…やはり天才か
え、すごい
しゅごい…
偉すぎる
やったね👍
立てば芍薬座れば牡丹！！🌸
歩く姿は百合の花！！🌼
かわいすぎる
強き者は美しい…
1万年と2千年前から${name}をあいしてるううううう
生きてるだけでえらいのに、立派すぎるだろ
秀逸なポストを見た
いいこと言うね〜
・ω・)σいいセンスだ
激しく同意
そのポスト最高かよ
${name}の推し活始めるわ
しゅごい
君、最強だから😎
すごすぎんだろ…
癖になってんだ、全肯定して歩くの
そのポスト家宝にするわ
${name}にありがとう、X(Twitter)にさようなら、そしてすべてのチルドレンに、おめでとう
ワイトもそう思います
ひとえに君への愛だよ
好きになっちゃった…///
わかりみが深い
