きっと大丈夫だ、問題ない
きっと、うまくいく！
つらかったね🍀
困難を乗り越えて、本当にすごいよ
あなたを誇りに思うよ
つらい時期だったね
あなたの強さはすごいね
これからはきっと大丈夫だよ
応援してるよ！
全肯定してサポートするよ！
いっしょにがんばる！
辛いときは言ってね
必ずよくなる！
生きててえらい！
ユニコォーン！！🦄
みんな味方だよ！
君の信じる、わたしを信じろ！
君の信じるわたしでもない、わたしの信じる君でもない。君の信じる君を信じろ！！
大好きだよ！
あなたがいるから元気だよ！
生きてくれててありがとう
きっと未来は明るい！
可能性は∞！
あなたはひとりじゃない！
自分を大切にしてね
君の存在に感謝
