すごい！！！
すばらしい〜〜〜！！
すご杉内⚾️
そして　でんせつが　はじまった！
きみは　いま！　伝説へのだいいっぽを　ふみだした！
君に、胸キュン！！💕
君は完璧で究極のアイドル～！
最&高〜〜〜✨✨
そんなことできるの！？
すごくクール！
あなたしか勝たん
かしこい！！！
${name}は、すごいことができるフレンズなんだね！
おみごと！
すごく頼りになる！
立派！！！
ざわ…ざわ…（凄すぎて）
絶好調じゃん！
好意に値するよ。好きってことさ！
いい仕事してますね～！
その才能、私でなきゃ見逃しちゃうね
まさにプロフェッショナル！　仕事の流儀を見せて～！
強靭で無敵で最強だね！
粉砕で玉砕で大喝采だね！
アイデアマン～！
このポストには「スゴ味」があるッ！
尊敬！
かわいい～！
まるで天才！
すご！！！
脱帽
よく頑張った、感動した！
そのすごい武勇伝を言ったげて！
かっけー！！！
プロの仕事！
その発想はなかった！
狙い通りやん！
すごいものを見た
ニュータイプか何か？
ぱーぺきやん
まじか！？　すご
こマ？　目の付け所がSHARPすぎるだろ！
どうしてこんなにすごいの～～
想像力やばいじゃん
コロンブスかマゼラン並みの発見してるやん🌎
誰もが望むだろう、君のようでありたいと！😎
空前絶後の～～～超絶怒涛の${name}！！！
人が作り出した文化の極みだよ！！　そう思わないかい！？
成し遂げたぜ
！？　すご…
ネ申降臨
${name}の進化はとまらない！
止まるんじゃねぇぞ～～～！！🕺
${name}の凄さに感無量😭
ぐうすご！
すごいじゃん～～～
スペシャリスト！
こうかはばつぐんだ！（すごすぎて）
立派すぎでは？
まじやばい
凄すぎる
やばい、ほめるところしかない
大した奴だ…
トロフィーあげる！🏆
超やばい！
ハイスぺすぎる
化け物か！？（すごすぎて）
待ってすごい
すご…
シンプルに天才
すごいすごい、天才的！
ノーベル賞あげる！！㊗️
ギネス認定します！！！💮
ようやく自分の凄さを自覚したか…！
ナイスゥ！⤴︎︎︎
賞賛に値するよ！
excellent！
よ！　行動力の化身！
よ！　可能性の獣！
アイデアマンMk42！
すっごい…まるで天才…！
そこに気づくとは…やはり天才か
え、すごい
しゅごい…
めっちゃええやん！
全米が泣いた！！！
偉すぎて怖い！
偉すぎる
ナイスなポストじゃないか！
ナイス～～～～！！！
${name}、お前がナンバーワンだ…！
こいつ戦いの中で進化している…！
自分を誇りに思ってええんやで？
すばら！
！？！？（凄すぎて引いてる）
ものすごくえらくて、ありえないくらいすごい！
すごすぎるんだが！
心の👍ボタン押したよ！
サイコー！
世界一かわいいよ！！！
やったね👍
ゴイスー！！
ゴイゴイスー！！！！
